Date Open High Low Close Volume Adj Close
2011-03-23 21522.20 21713.54 21497.07 21698.38 000 21698.38
2011-03-22 21556.54 21789.89 21455.76 21556.82 000 21556.82
2011-03-21 21457.32 21527.11 21289.80 21527.11 000 21527.11
2011-03-18 21275.91 21449.65 21075.17 21197.10 000 21197.10
2011-03-17 20970.18 21309.82 20875.67 21140.59 000 21140.59
2011-03-16 21441.29 21509.06 20801.78 20836.77 000 20836.77
2011-03-15 21331.51 21565.86 20938.68 21365.40 000 21365.40
2011-03-14 21771.96 22146.01 21716.07 21804.32 000 21804.32
2011-03-11 21922.30 22090.82 21828.25 21863.02 000 21863.02
2011-03-10 22248.46 22376.74 21995.62 22084.46 000 22084.46
2011-03-09 22369.56 22557.61 22279.34 22441.24 000 22441.24
2011-03-08 22266.93 22366.58 22120.96 22353.45 000 22353.45
2011-03-07 22001.41 22447.42 21974.16 22145.79 000 22145.79
2011-03-04 22281.21 22456.02 22110.56 22138.44 000 22138.44
2011-03-03 22356.85 22486.34 22061.45 22154.23 000 22154.23
2011-03-02 22046.52 22388.63 21881.62 22238.75 000 22238.75
2011-03-01 22587.88 22717.22 22126.42 22227.23 000 22227.23
2011-02-28 22307.74 22657.27 22151.91 22466.57 000 22466.57
2011-02-25 22011.46 22415.05 21974.13 22349.71 000 22349.71
2011-02-24 21755.28 22049.92 21727.29 21948.73 000 21948.73
2011-02-23 21938.83 22135.70 21871.58 21929.79 000 21929.79
2011-02-22 22230.20 22230.20 21800.49 21993.96 000 21993.96
2011-02-21 23006.63 23021.21 22202.00 22230.20 000 22230.20
2011-02-18 23224.47 23273.80 22860.91 23059.03 000 23059.03
2011-02-17 23178.35 23227.78 23026.44 23178.38 000 23178.38
2011-02-16 22885.05 23172.31 22877.52 23167.58 000 23167.58
2011-02-15 22648.71 22939.28 22606.71 22823.82 000 22823.82
2011-02-14 22807.90 22870.57 22578.00 22637.29 000 22637.29
2011-02-11 22521.79 22791.27 22345.50 22695.19 000 22695.19
2011-02-10 22607.54 22646.50 22298.15 22596.79 000 22596.79
2011-02-09 22705.52 22826.38 22586.84 22683.46 000 22683.46
2011-02-08 22753.17 22807.66 22571.63 22734.17 000 22734.17
2011-02-07 22642.37 22953.13 22639.23 22793.01 000 22793.01
2011-02-04 22591.73 22717.10 22549.24 22618.05 000 22618.05
2011-02-03 22581.54 22758.03 22317.71 22443.86 000 22443.86
2011-02-02 22594.24 22715.66 22515.14 22653.59 000 22653.59
2011-02-01 22186.48 22525.59 21997.84 22525.59 000 22525.59
2011-01-31 21941.47 22210.88 21715.48 22050.45 000 22050.45
2011-01-28 22285.37 22459.34 22007.37 22025.11 000 22025.11
2011-01-27 21976.54 22412.65 21858.12 22311.52 000 22311.52
2011-01-26 22046.75 22174.89 21936.62 22007.00 000 22007.00
2011-01-25 22264.99 22291.02 21858.18 21940.13 000 21940.13
2011-01-24 22182.33 22252.33 21958.79 22156.85 000 22156.85
2011-01-21 21893.91 22316.43 21870.76 22093.85 000 22093.85
2011-01-20 21686.69 21979.65 21648.56 21792.28 000 21792.28
2011-01-19 21665.01 21857.11 21564.67 21712.14 000 21712.14
2011-01-18 21424.30 21628.34 21410.52 21590.86 000 21590.86
2011-01-17 21466.83 21533.51 21277.18 21344.14 000 21344.14
2011-01-14 21265.19 21504.08 21213.49 21460.09 000 21460.09
2011-01-13 21123.72 21338.40 21073.60 21308.13 000 21308.13
2011-01-12 20372.55 21116.39 20369.91 21116.39 000 21116.39
2011-01-11 20138.48 20364.28 20005.27 20339.05 000 20339.05
2011-01-10 20473.62 20478.53 20058.18 20058.18 000 20058.18
2011-01-07 20635.53 20737.89 20367.45 20542.06 000 20542.06
2011-01-06 20595.04 20896.33 20583.10 20637.39 000 20637.39
2011-01-05 20507.19 20561.82 20232.12 20551.58 000 20551.58
2011-01-04 20452.26 20683.26 20338.25 20547.03 000 20547.03
2011-01-03 19983.83 20935.64 19982.97 20436.28 000 20436.28
2010-12-30 20478.29 20506.83 20164.40 20173.29 000 20173.29
2010-12-29 20500.95 20607.56 20442.75 20471.01 000 20471.01
2010-12-28 20564.94 20611.88 20405.00 20448.48 000 20448.48
2010-12-27 20614.14 20618.01 20456.42 20513.51 000 20513.51
2010-12-23 20802.55 20911.27 20707.00 20774.16 000 20774.16
2010-12-22 20746.04 20853.98 20696.87 20733.37 000 20733.37
2010-12-21 20478.77 20741.96 20477.60 20736.60 000 20736.60
2010-12-20 20101.00 20520.03 20046.35 20373.66 000 20373.66
2010-12-17 20430.51 20433.13 20021.84 20069.18 000 20069.18
